original_id_x;date_created;resource_type;specific_resource_type;specific_type;post_type;stream_type;object_name;object_content;from_id;from_username;name;content;final_sentiment;from_display_picture;media_link;link;bio;reply_to_original_id;reply_to_user_id;retweet_from_original_id;retweet_from_user_id;identifikasi;original_id_y;content_y;link_y
"1,93E+18";22/05/2025 16.33.47;social_media;twitter;status;talk;keyword;IPB;IPB;"1,89E+18";jojidiebetter;Avian in quiet contemplation and deliberate growt;"""gmna sih IPB, pertanian begini2 mulu, petani & agrarisnya pada miris""  IPB to UI: https://t.co/Zd2WlVvnxU";negative;https://pbs.twimg.com/profile_images/1909524664579510272/QL5EC_OA_normal.jpg;;https://twitter.com/jojidiebetter/status/1925485232083673368;"Some say the world will end in fire, Some say in ice.";;;;;no-take-out;;;
"1,91E+18";14/04/2025 18.39.02;social_media;twitter;status;talk;keyword;IPB;IPB;944064625;bali_prabowo;PASUKAN PRABOWO BALI;"""IPB University mendukung penuh Program Makan Bergizi Gratis (MBG) dengan mengoptimalkan peran dosen sebagai peneliti, pelatih, dan inovator. Sinergi antar fakultas, laboratorium, dan pusat studi jadi kunci suksesnya program ini demi generasi sehat dan cerdas! https://t.co/wMHmPyTazm";positive ;https://pbs.twimg.com/profile_images/1697242017494171648/pUnDj4Os_normal.jpg;;https://twitter.com/bali_prabowo/status/1911746011581874211;Prabowo Jaya jaya jaya!!!;"1,91E+18";944064625;;;no-take-out;;;
"1,89E+18";26/02/2025 16.35.31;social_media;twitter;status;talk;keyword;IPB;IPB;"1,68E+18";Baraya19_;Wiro;"""Jayalah IPB Kita"". Cuma inget itunya doang. Lirik yg lainnya udah lupa. 😅";neutral;https://pbs.twimg.com/profile_images/1892708927789531137/703AbNYc_normal.jpg;;https://twitter.com/Baraya19_/status/1894682696905056296;WML  My previous accounts @Baraya_19_ @Kang_Hiji has been suspended. im not multi. TYSM.;;;;;no-take-out;;;
"1,91E+18";03/04/2025 11.27.33;social_media;twitter;status;talk;keyword;IPB;IPB;"1,64E+18";CestLaReves;dan yap dan yap(pers);"""Kuliah di mana sekarang?"" Biasa aja, kujawab IPB  ""jurusan apa?"" MENGHELA NAFAS SELAMA 5 DETIK, MIKIR DULU MAU JAWAB BIO/INFORMATIKA/BIOINFORMATIKA, alhasil yapping selama 10 menit menjelaskan apa itu bioinformatika";neutral;https://pbs.twimg.com/profile_images/1885346247420370946/UdtMvqvT_normal.jpg;;https://twitter.com/CestLaReves/status/1907651159881572617;2025MabaLagi!;;;;;no-take-out;;;
"1,91E+18";03/04/2025 18.54.49;social_media;twitter;status;talk;keyword;IPB;IPB;"1,64E+18";urcentauri;damdadinn;"""kuliah di mana sekarang?"" DENGAN LANTANG KU JAWAB IPB UNIVERSITY  ""Fakultas apa?"" DENGAN LANTANG KU JAWAB FAPERTA  ""jurusan apa?"" DENGAN LANTANG KU JAWAB PROTEKSI TANAMAN  ""???"" ᴴᵃᵐᵃ ᵈᵃⁿ ᴾᵉⁿʸᵃᵏⁱᵗ ᵀᵘᵐᵇᵘʰᵃⁿ";neutral;https://pbs.twimg.com/profile_images/1871946856739033088/RkXm9PKq_normal.jpg;;https://twitter.com/urcentauri/status/1907763718827704756;"def will pick u up on styx river if i lose you, between belief and the cracken fate.   ||| Ness always with → @GoldenChild";;;;;no-take-out;;;
"1,85E+18";01/11/2024 21.04.59;social_media;twitter;status;talk;keyword;IPB;IPB;"1,25E+18";2704itsnr;intan౨ৎ;"""oh kuliah di ipb ya?"" i wish🥺";positive;https://pbs.twimg.com/profile_images/1797881040612249600/oeo3284U_normal.jpg;nan;https://twitter.com/2704itsnr/status/1852351131726537092;nan;nan;nan;nan;nan;no-take-out;nan;nan;nan
"1,80E+16";05/01/2025 06.52.48;social_media;instagram;comment;talk;account;ipbofficial;1818662133;1518890612;hadiazisp;hadiazisp;#banggajadialumni 👏👏;positive ;https://instagram.fbdo9-1.fna.fbcdn.net/v/t51.2885-19/431602326_909130374043267_4240182158520645015_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbdo9-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2AE6hBkFvlItrmfXAH9ZPyhgG2wvguoFs_otIhYjMSE_ZCk6cNUfTquEoqsepE2hIqA&_nc_ohc=m-Ejr1_IfmAQ7kNvgFQdT9I&_nc_gid=556fefc386de44c99369b6720a6b2194&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYBWQUKI20KOJPhmzTbm3O3DbXmBMyf92xu4e_s0GH2baQ&oe=679E53EB&_nc_sid=0985b0;;https://www.instagram.com/p/DEXBpHTP5l8/18047881814124680;;"3,54E+18";;;;no-take-out;"3,54E+18";"#SpotIPB  Tahun baru, spot baru, semangat baru ✨  Ini dia Co-Creation Lounge, spot baru yang cantik dan super nyaman di Perpustakaan IPB University. Co-Creation Lounge hadir sebagai ruang bagi #IPBNesian untuk berkreasi, berbagi ide, dan bereksplorasi!   Kira-kira akan jadi spot favorit #IPBNesian gak nih? Komen di kolom komentar yaaa  #IPBUniversity #IPBNesian #KampusTerbaik #KampusMerdeka #spotipb";https://www.instagram.com/p/DEXBpHTP5l8/
"1,93E+18";24/05/2025 10.45.02;social_media;twitter;status;talk;keyword;IPB;IPB;567255514;BankBCA;Bank BCA;"#BCABerbagiIlmu hadir di Institut Pertanian Bogor dengan Direktur BCA, Bapak John Kosasih, akan berbagi pengalamannya tentang proses & perjalanan dalam bertransformasi  🕖 Senin, 26 Mei 2025 | 10:00 - 12.00 WIB 📍 Auditorium FEM, IPB  LIVE di Youtube Solusi BCA 💙 #BuktiBaktiBCA https://t.co/Slyo8BDgQ0";neutral;https://pbs.twimg.com/profile_images/1885671320073170944/CbtUxPFg_normal.jpg;;https://twitter.com/BankBCA/status/1926122240883532131;BCA berizin dan diawasi oleh OJK & BI | BCA merupakan peserta penjaminan LPS | Halo BCA 1500888;;;;;no-take-out;;;
"1,90E+18";26/03/2025 10.12.01;social_media;twitter;status;talk;keyword;IPB;IPB;"1,51E+18";SantikaAlamanda;Alamanda Santika;"#BeritaIPB  Cegah Kantuk saat Mudik, Ini Dia Makanan Peningkat Stamina Versi Dosen IPB University  Baca selengkapnya di: https://t.co/uT6VBTFZNA  #IPBUniversity #IPBNesian #KampusTerbaik #KampusMerdek";neutral;https://pbs.twimg.com/profile_images/1506529662674952192/4DiXQRWD_normal.jpg;;https://twitter.com/SantikaAlamanda/status/1904733046521422197;happy me;;;;;no-take-out;;;
"1,90E+18";26/03/2025 01.25.59;social_media;twitter;status;talk;keyword;IPB;IPB;"1,51E+18";SantikaAlamanda;Alamanda Santika;"#BeritaIPB  Cegah Kantuk saat Mudik, Ini Dia Makanan Peningkat Stamina Versi Dosen IPB University  Baca selengkapnya di: https://t.co/uT6VBTFZNA  #IPBUniversity #IPBNesian #KampusTerbaik #KampusMerdek";neutral;https://pbs.twimg.com/profile_images/1506529662674952192/4DiXQRWD_normal.jpg;;https://twitter.com/SantikaAlamanda/status/1904600665630138541;happy me;;;;;no-take-out;;;
"1,90E+18";25/03/2025 13.33.28;social_media;twitter;status;talk;keyword;IPB;IPB;114363810;ipbofficial;IPB;"#BeritaIPB  Cegah Kantuk saat Mudik, Ini Dia Makanan Peningkat Stamina Versi Dosen IPB University  Baca selengkapnya di: https://t.co/vsbqZXYdqj  #IPBUniversity #IPBNesian #KampusTerbaik #KampusMerdeka";neutral;https://pbs.twimg.com/profile_images/649465498841669632/fAhP-qDl_normal.png;;https://twitter.com/ipbofficial/status/1904421356168712647;The official IPB University Twitter account | Inspiring Innovation with Integrity | E-mail : ask@apps.ipb.ac.id;;;;;no-take-out;;;
