original_id_x;date_created;resource_type;specific_resource_type;specific_type;post_type;stream_type;object_name;object_content;from_id;from_username;name;content;final_sentiment;from_display_picture;media_link;link;bio;reply_to_original_id;reply_to_user_id;retweet_from_original_id;retweet_from_user_id;identifikasi;original_id_y;content_y;link_y
"1,91E+18";23/04/2025 09.56.03;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,91E+18";puddihng;mimi;@ininapp cari aja utbk universitas indonesia;neutral;https://pbs.twimg.com/profile_images/1919431836847243264/zn_jlmvy_normal.jpg;;https://twitter.com/puddihng/status/1914875889197965410;warna warni kayaa nyam-nyam :3;"1,91E+18";"1,74E+18";;;no-take-out;;;
141006609489_1099060022255219_1748423606000_733309cefbbabd09249d71fc95220646ba8b2eca7c6a308aca12d33a3fbadd41;28/05/2025 16.13.26;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Ada jurusan teknologi kayu gak kaka...??;neutral;;;https://facebook.com/141006609489_1099060022255219_1748423606000_733309cefbbabd09249d71fc95220646ba8b2eca7c6a308aca12d33a3fbadd41;;141006609489_1099060022255219;"1,41E+11";;;no-take-out;141006609489_1099060022255219;"Halo, Para Pejuang SNBT ðŸ‘‹ðŸ»  Hari ini bukan sekadar pengumuman, ini adalah titik temu dari setiap doa dan usaha yang tak pernah berhenti meski sempat ingin menyerah. Siapkan diri kalian untuk pengumuman SNBT 2025 hari ini, Rabu 28 Mei pukul 15.00 WIB.   Masih ada waktu untuk terus berdoa agar mimpi belajar di universitas kebanggaan kalian dapat terwujud.  Jangan lupa untuk cek hasil pengumumanmu melalui tautan https://snbt.ui.ac.id/count.html yang dapat diakses pada pukul 15.00 WIB yaa ðŸ’›  Semoga sukses & sampai jumpa di Universitas Indonesia! ðŸ¤©  #UniversitasIndonesia #MahasiswaBaruUI  #SNBT2025 #KampusPerjuangan";https://facebook.com/141006609489_1099060022255219
141006609489_1046230117538210_1742493378000_8f853a1a1facb098a53c68ff0535442c5b88b49314de629c14245819ff404a2e;21/03/2025 00.56.18;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Almamaterku setia berjasa, Universitas Indonesia. â™¥ï¸ðŸ¤";positive ;;;https://facebook.com/141006609489_1046230117538210_1742493378000_8f853a1a1facb098a53c68ff0535442c5b88b49314de629c14245819ff404a2e;;141006609489_1046230117538210;"1,41E+11";;;no-take-out;141006609489_1046230117538210;"UI berhasil menjadi kampus terbaik ke-4 di Asia Tenggara versi EduRank 2025, naik dua peringkat dari tahun sebelumnya. Saat ini UI menempati posisi ke-70 Asia dan 460 dunia naik dari tahun sebelumnya, yaitu 88 Asia dan 531 dunia.   Adapun, UI berada di posisi 1 Indonesia untuk enam bidang ilmu, yakni Medicine, Computer Science, Psychology, Business, Economics, dan Art & Design. Penilaian pemeringkatan EduRank didasarkan pada tiga indikator utama, yaitu hasil penelitian (45%), reputasi non-akademik (45%), dan pengaruh alumni (10%).   Selain itu, tahun ini UI masuk Top 50% untuk 210 topik penelitian di 13 bidang keilmuan. Hal ini tentu menjadi kebanggaan bagi UI, sekaligus tantangan untuk terus bertumbuh ke depannya.  #UniversitasIndonesia #ProudToBeUI #EduRank2025";https://facebook.com/141006609489_1046230117538210
"1,91E+18";02/04/2025 17.54.03;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,46E+18";iHeart_UI;"kelii, k nya K3 UIÂ²âµ";Assalamualaikum universitas indonesia https://t.co/AplLTMnueT;neutral;https://pbs.twimg.com/profile_images/1905668468999090176/m3K9xyJD_normal.jpg;;https://twitter.com/iHeart_UI/status/1907386037707444620;soon to be part of FKM-K3 UI ðŸ’œðŸ’«;;;;;no-take-out;;;
"1,93E+18";04/06/2025 00.25.49;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,42E+18";afterxuddle;t1d11es;"Assalamualaikum, Pesan terbuka untuk universitas indonesia, tunggu aku di ilmu komunikasi atau ga di produksi media.  Terimakasih â˜”ï¸";neutral;https://pbs.twimg.com/profile_images/1654791101264588800/Ctgmyu0h_normal.jpg;;https://twitter.com/afterxuddle/status/1929952676370100287;craving pussy 24/7;;;;;no-take-out;;;
"1,90E+18";07/03/2025 13.05.32;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,85E+18";shaaalert;aishaÂ²â¶ â˜…;bakal cinta fakultas farmasi universitas indonesia https://t.co/FJ8DP2wYmw;positive ;https://pbs.twimg.com/profile_images/1897347160267513856/VwV-RgWr_normal.jpg;;https://twitter.com/shaaalert/status/1897891344489529495;soon to be a pharmacist ð“¼;;;;;no-take-out;;;
141006609489_1046230117538210_1742604958000_a7ed1ab9ced581d37437be733eebedba8c2908bffa5878979b10e93f6fc483db;22/03/2025 07.55.58;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Bangga dengan kampuskuðŸ¤©;positive ;;;https://facebook.com/141006609489_1046230117538210_1742604958000_a7ed1ab9ced581d37437be733eebedba8c2908bffa5878979b10e93f6fc483db;;141006609489_1046230117538210;"1,41E+11";;;no-take-out;141006609489_1046230117538210;"UI berhasil menjadi kampus terbaik ke-4 di Asia Tenggara versi EduRank 2025, naik dua peringkat dari tahun sebelumnya. Saat ini UI menempati posisi ke-70 Asia dan 460 dunia naik dari tahun sebelumnya, yaitu 88 Asia dan 531 dunia.   Adapun, UI berada di posisi 1 Indonesia untuk enam bidang ilmu, yakni Medicine, Computer Science, Psychology, Business, Economics, dan Art & Design. Penilaian pemeringkatan EduRank didasarkan pada tiga indikator utama, yaitu hasil penelitian (45%), reputasi non-akademik (45%), dan pengaruh alumni (10%).   Selain itu, tahun ini UI masuk Top 50% untuk 210 topik penelitian di 13 bidang keilmuan. Hal ini tentu menjadi kebanggaan bagi UI, sekaligus tantangan untuk terus bertumbuh ke depannya.  #UniversitasIndonesia #ProudToBeUI #EduRank2025";https://facebook.com/141006609489_1046230117538210
141006609489_1105129588314929_1749170008000_0ec220cc3aa78dc4a4c0e7109116a6a8ee17fb766caef249ca3a3b14a378c6ab;06/06/2025 07.33.28;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;"Bangga sekali melihat yg berprestasi seperti ini, semoga Sukses dr. Sahrul. ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘";positive;;;https://facebook.com/141006609489_1105129588314929_1749170008000_0ec220cc3aa78dc4a4c0e7109116a6a8ee17fb766caef249ca3a3b14a378c6ab;;141006609489_1105129588314929;"1,41E+11";;;no-take-out;141006609489_1105129588314929;"Lima tahun lalu, saya hanyalah anak bungsu dari keluarga tukang las dan penyapu jalan di Bagan Siapi-api, Rokan Hilir, Riau. Jangankan untuk memikirkan biaya kuliah di Jakarta, uang untuk makan sehari-hari sajapun kerap tak cukup untuk kami. Tapi, Bapak dan Ibu tak pernah lelah berkorban. Ibu bahkan menjual perhiasan satu-satunya, kalung emas pemberian nenek untuk membeli tiket pesawat agar saya bisa mendaftar ulang ke UI. Saat itu, saya berjanji bahwa suatu hari nanti, saya akan membalas semua tetes keringat mereka dengan gelar ini.  Ketika kabar penerimaan saya di FKUI tersiar, media lokal memberitakan kesulitan ekonomi keluarga kami. Dari situ, saya merasa kuasa Tuhan berpihak kepada saya. Ikatan Alumni FKUI, Prof. Ari Fahrial Syam, Guru Besar FKUI, menghubungi kami dan berkata, â€œBiaya kuliah dan hidupmu akan kami tanggung. Fokus saja belajar.â€ Seperti mimpi rasanya bisa menjadi bagian dari ekosistem kedokteran terbaik bangsa ini. Sejak saat itu yang saya lakukan hanyalah belajar dengan giat dan menyelesaikan perkuliahan ini dengan baik serta aktif berkontribusi di kampus. Perjalanan ini menyadarkan saya bahwa keterbatasan bukan akhir cerita, tapi awal dari jaringan kebaikan yang tak terduga.  Kini, setelah mengucap sumpah dokter, tekad saya semakin membara untuk melanjutkan studi yang lebih tinggi nantinya, Saya akan kembali ke Rokan Hilir sebagai dokter spesialis jantung atau kandungan. Di kampung halaman, banyak ibu hamil yang meninggal karena tak ada tenaga ahli, atau pasien jantung yang harus merantau berobat ke kota. Saya ingin perubahan itu dimulai dari tangan saya. Untuk adik-adik di pelosok yang ragu meraih mimpi karena ekonomi, saya berpesan: â€œJalanmu mungkin terjal, tapi selama ada kemauan dan orang-orang baik yang siap membantu, langkahmu tak akan pernah sendiri. Gapai mimpimu, dari desa kecil tanpa biayapun, kita bisa mengubah dunia. Tuhan pasti beri jalanâ€  dr. Syahrul Ramadhan Alumnus Fakultas Kedokteran 2023  #UniversitasIndonesia #UIProfile #CeritaInspiratif #SIMAKUI #SNBP #SNBT #UKT #IPI";https://facebook.com/141006609489_1105129588314929
"1,91E+18";29/03/2025 05.55.24;social_media;twitter;status;talk;keyword;universitas indonesia;universitas indonesia;"1,88E+18";gilmoregaaal;dew | on grind mode â‹†. ð™š Ëš;belah dada gue isinya cuman universitas indonesia;positive ;https://pbs.twimg.com/profile_images/1875462327858032642/yEElUwDZ_normal.jpg;;https://twitter.com/gilmoregaaal/status/1905755633175159048;future #med stud ðŸ‘©ðŸ»â€âš•ï¸ðŸ©º manifesting snbt 800+;;;;;no-take-out;;;
141006609489_1046817080812847_1742457476000_f3c0744a72be80bbdfbbdc66cc3fdbab5226ccd3e10836f67489c8f32872fca7;20/03/2025 14.57.56;social_media;facebook;comment;talk;account;Universitas Indonesia;"1,41E+11";;;;Bngga menjadi bag dr ui;positive ;;;https://facebook.com/141006609489_1046817080812847_1742457476000_f3c0744a72be80bbdfbbdc66cc3fdbab5226ccd3e10836f67489c8f32872fca7;;141006609489_1046817080812847;"1,41E+11";;;no-take-out;141006609489_1046817080812847;"Universitas Indonesia masih menjadi yang terunggul pada tiga broad subject areas yang dirilis oleh QS WUR by Subjects 2025. Tiga broad subject UI menduduki peringkat 1 di Indonesia dan masuk 10 besar Asia Tenggara, di antaranya Arts and Humanities (7), Social Sciences and Management (8), dan Life Sciences and Medicine (10). UI juga mengalami kenaikan peringkat dunia untuk broad subject Arts and Humanities dari 220 menjadi 190 dan Life Sciences and Medicine dari peringkat 349 menjadi 331.  Adapun, 7 narrow subjects UI berhasil memperoleh peringkat 5 terbaik di tingkat Asia Tenggara, yaitu Development Studies (2)";
